page_number,section_title,section_content
6,1.1 Prequalification Procedure .............................................................................................................S1-2,
6,1.2 Maintaining Qualification Status ...................................................................................................S1-2,
6,1.3 Bidding Instructions ..........................................................................................................................S1-3,
6,1.4 Bidding Instructions Continued .....................................................................................................S1-4,
6,1.5 Detailing Contract .............................................................................................................................S1-4,
6,1.6 Project eSaer tuunpd .e..r.s..t.a..n.d...in..g.. .o..f. .p..h..a..s..e.. .c..o..d..e..s. .p..e..r.. t..a.b...le.. .i.f. .B..l.u..e..b..e..a..m... .d..o..c..u..m...e..n..t. .w..a..s..n..’.t. .p..r.o..v..i.d..e..d................S1-5,
6,1.7 Project Schedule ...............................................................................................................................S1-6,
6,1.8 Technical Requirements .................................................................................................................S1-6,
6,1.9 Project Procedures ...........................................................................................................................S1-7,
6,1.10 Requests for Information (RFIs) ...................................................................................................S1-8,
6,1.11 RFI Logs..............................................................................................................................................S1-9,
6,1.12 Shop and Field Drawing Logs .....................................................................................................S1-9,
6,"1.13 Design Drawings, Specifications, and Document Logs ........................................................S1-9",
6,"1.14 Payment, Changes, Claims, and Delays ..................................................................................S1-10",
6,1.15 Change Orders ...............................................................................................................................S1-10,
6,1.16 Project Closeout.............................................................................................................................S1-10,S1-1
7,1.1 Prequalification Procedure,"a. SME will not enter into any detailing contract with a detailer unless that detailer has been prequalified. b. Any detailing firm that has not done work with SME shall submit a completed “Detailer’s Prequalification Statement” which will be provided to each firm on an individual basis. Any exceptions or clarifications to SME’s Detailing Manual or contract, taken by the detailer, should be submitted with the completed Prequalification Statement. c. Be advised that detailing firms that employ off-shore detailers MUST have a full-time, fully-staffed office within the continental U.S. or Canada. SME will not contract with firms that broker or sublet services to independent detailers. d. Upon revie e w ar o u f n t d h e e rs t c a o n m din p g l e o t f e p d h a S s t e a c te od m e e s n pe t, r S ta M bl E e i m f B a lu y e a b s e k a m th d e o c d u e m t e a n il t e w r a fo sn r ’ t f o pr ll o o v w id - e u d p . information and/ or visit the detailer’s office. e. SME will either approve or disapprove the detailer."
7,1.2 Maintaining Qualification Status,"a. Approved detailers will be included on SME’s list of prequalified detailers, which is referred to by SME’s Estimating and Sales departments as well as Project Managers. b. SME’s Detailing Manager and Senior Project Manager(s) will monitor the performance, quality, and adherence to SME standards of all contract detailers and will disapprove any detailer that does not maintain the requirements put forth in this manual. c. As a certified structural steel fabricator, SME is audited annually by AISC. A major element of the audit addresses detailing procedures, standards, and quality assurance. Refer to section 21 of this Manual – Supplemental Guidelines for Quality Assurance – for requirements pertaining to subcontract detailing. S1-2"
8,1.3 Bidding Instructions,"1. Prior to submitting any bid for steel detailing work to SME, detailer must take into account items below: a. SME Detailing Manual and agree to meet all of the requirements contained in each section. b. All safety and added framing for stability is expected to be included in your bid. c. Bid must also include participation in BIM coordination which includes providing weekly models as well as attending coordination meetings up to two (2) hours per week. 2. Inquire about and obtain all pertinent contract documents, including but not limited to the items listed below: ear understanding of phase codes per table if Bluebeam document wasn’t provided. a. Structural and architectural drawings b. Project specifications c. Addenda and/or amendments d. General and special conditions e. Any other related documents that could affect the accuracy of your bid 3. The detailer shall bid to SME’s scope of work; a copy of SME’s scope letter will be provided with each bid request. Bid shall adhere to the project Request for Proposal (RFP). Any deviation from RFP shall be clearly communicated and accepted by SME prior to bid. 4. Inquire about the project schedule, any value engineering being considered by SME, and the approximate number of sequences being considered for the project. 5. In addition to any specific items required by SME’s Estimating department, your bid must include the items listed below: a. List of all contract documents used in the preparation of the bid b. List of exclusions, if different from SME’s scope of work c. List of detailing rates including straight time, overtime, and double time to be used for change orders, if different from what was listed in the detailer’s prequalification statement d. Any breakout pricing as required for the bid S1-3"
